,credit.policy,int.rate,installment,log.annual.inc,dti,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,grade,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
32,1.0,0.0743,155.38,11.91839057,0.0,7128.958333,6053.0,19.5,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
33,1.0,0.0807,78.42,11.60823564,11.33,6059.958333,7274.0,13.1,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0
35,1.0,0.0743,155.38,11.46163217,3.83,2535.0,3660.0,6.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
36,1.0,0.0743,155.38,11.35040654,0.31,3540.0,216.0,0.6,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
38,1.0,0.0996,161.25,10.77895629,8.03,4320.0,28329.0,48.6,1.0,0.0,0.0,0.0,2,0,1,0,0,0,0
41,1.0,0.0743,155.38,11.69524702,2.29,3540.0,8379.0,16.9,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
42,1.0,0.087,94.98,10.1266311,14.54,2460.0,3660.0,7.8,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1
44,1.0,0.1122,164.23,10.30895266,18.64,5190.0,15840.0,47.1,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
45,1.0,0.0838,167.02,11.21182037,14.37,5610.958333,6844.0,14.4,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
47,1.0,0.0838,160.72,10.37349118,14.78,4379.0,4737.0,23.9,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
48,1.0,0.0901,159.03,11.19821472,9.96,3089.958333,23489.0,37.6,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
49,1.0,0.0743,178.69,11.73606902,0.27,7488.958333,2817.0,10.2,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
50,1.0,0.0743,155.38,10.71441777,1.12,5807.0,1783.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0
51,1.0,0.1028,323.98,10.217422,10.7,1379.0,3534.0,54.4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
52,1.0,0.1059,813.65,10.77895629,4.05,2729.958333,2422.0,23.3,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1
53,1.0,0.0996,112.87,9.510444964,16.44,1649.958333,2864.0,41.1,1.0,0.0,0.0,0.0,2,0,0,1,0,0,0
54,1.0,0.1596,94.88,10.86283777,12.57,1409.0,3075.0,92.3,1.0,0.0,0.0,0.0,2,0,1,0,0,0,0
56,1.0,0.1154,39.6,9.903487553,2.04,1139.0,1153.0,75.8,2.0,0.0,0.0,0.0,1,1,0,0,0,0,0
59,1.0,0.0964,205.45,11.00209984,7.72,2293.958333,3362.0,69.3,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
61,1.0,0.0743,155.38,10.59663473,2.55,8189.958333,2562.0,14.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0
62,1.0,0.1028,113.39,9.903487553,1.5,1410.0,1882.0,32.4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
65,1.0,0.1059,32.55,10.43382164,14.47,1110.0,4485.0,36.9,1.0,0.0,0.0,1.0,2,0,0,0,0,0,0
67,1.0,0.0964,160.51,11.77528973,8.55,5940.0,20969.0,40.2,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
68,1.0,0.1375,340.57,10.46310334,17.38,2699.958333,22213.0,65.9,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
69,1.0,0.0775,156.11,12.32385568,6.48,5339.958333,2160.0,2.3,1.0,0.0,0.0,0.0,2,0,0,0,1,0,0
70,1.0,0.0743,155.38,11.15625052,4.56,9809.0,813.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
71,1.0,0.0807,235.25,11.91839057,2.72,5202.0,23678.0,24.4,4.0,0.0,0.0,0.0,2,0,0,0,1,0,0
72,1.0,0.0996,257.99,10.77895629,15.13,2640.0,11289.0,47.8,3.0,0.0,0.0,0.0,2,0,1,0,0,0,0
74,1.0,0.0964,80.26,11.22524339,20.0,4920.958333,269.0,3.8,3.0,0.0,0.0,1.0,1,0,0,0,1,0,0
75,1.0,0.128,84.0,10.37349118,20.0,5492.0,3408.0,35.1,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0
77,1.0,0.0743,124.31,10.59663473,3.45,1739.958333,330.0,11.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
78,1.0,0.087,63.32,11.15625052,6.07,2550.0,5967.0,19.8,1.0,0.0,0.0,0.0,2,1,0,0,0,0,0
79,1.0,0.1091,130.79,9.798127037,18.0,2192.0,5533.0,79.6,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
80,1.0,0.0775,93.67,11.73606902,2.14,8370.0,21050.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
81,1.0,0.0775,93.67,10.81977828,5.35,8370.0,21050.0,0.7,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
82,1.0,0.087,88.65,11.69524702,15.0,3026.0,8155.0,14.9,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
83,1.0,0.0964,128.41,11.51292546,15.0,3026.0,8155.0,14.9,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
84,1.0,0.087,94.98,11.03488966,12.23,2729.958333,3678.0,30.7,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
85,1.0,0.1217,179.8,10.46310334,7.1,2944.0,2040.0,36.2,2.0,0.0,0.0,0.0,2,0,1,0,0,0,0
86,1.0,0.1533,444.05,11.00209984,19.52,2700.958333,33074.0,68.8,2.0,0.0,0.0,0.0,1,1,0,0,0,0,0
87,1.0,0.0775,124.89,11.03165864,3.46,2519.0,1918.0,17.1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
88,1.0,0.1533,644.3,11.40756495,5.24,1770.0,22379.0,62.2,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
89,1.0,0.0964,642.02,11.47210347,2.86,2190.0,10296.0,42.5,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1
90,1.0,0.1154,104.76,9.61580548,12.24,1289.958333,2867.0,55.1,3.0,0.0,0.0,1.0,1,0,0,0,0,0,1
91,1.0,0.1122,157.66,10.30895266,12.36,1770.0,12310.0,86.1,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
93,1.0,0.1122,217.6,11.38509209,18.0,3725.0,16738.0,26.1,2.0,0.0,0.0,0.0,2,1,0,0,0,0,0
94,1.0,0.0807,297.99,11.05089001,3.49,5939.0,40384.0,9.2,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
95,1.0,0.0775,156.11,10.71441777,5.0,2131.0,1359.0,5.6,2.0,0.0,0.0,0.0,2,0,1,0,0,0,0
97,1.0,0.0807,313.67,12.06104687,0.72,8010.0,3054.0,5.6,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0
98,1.0,0.0807,297.99,11.40756495,2.44,8717.958333,40384.0,9.6,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
100,1.0,0.0712,61.87,11.6784399,0.43,5936.0,4709.0,18.5,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
102,1.0,0.1501,73.68,11.47210347,16.89,4080.0,51.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1
103,1.0,0.0807,313.67,11.91839057,5.84,5364.958333,37152.0,3.7,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
104,1.0,0.0933,543.2,11.22524339,9.55,5699.958333,3839.0,16.6,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
105,1.0,0.0807,313.67,11.35040654,3.11,5363.958333,37152.0,3.7,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
107,1.0,0.1028,210.6,10.71441777,5.87,1741.958333,5607.0,42.2,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
108,1.0,0.1249,234.15,10.04324949,5.01,1110.0,1061.0,81.9,3.0,0.0,0.0,0.0,2,0,0,0,0,0,0
110,1.0,0.1059,235.96,10.95080655,7.22,5519.0,40598.0,77.3,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0
111,1.0,0.1438,352.22,11.1844214,17.83,1289.958333,3815.0,6.5,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
112,1.0,0.0743,117.31,11.69524702,0.0,3929.958333,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
114,1.0,0.1565,699.69,11.42954386,1.53,3603.958333,4569.0,56.4,1.0,0.0,0.0,0.0,2,0,0,0,0,0,1
115,1.0,0.1059,195.27,9.852194258,8.15,3089.958333,8528.0,86.1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
116,1.0,0.1122,295.59,10.3859137,22.15,2788.958333,14345.0,45.8,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
117,1.0,0.1122,217.59,10.81977828,18.38,3359.0,113.0,2.4,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1
118,1.0,0.1375,263.09,11.03811028,9.8,3089.958333,12231.0,81.0,3.0,0.0,0.0,1.0,1,0,1,0,0,0,0
120,1.0,0.1028,194.4,11.37710574,10.6,2489.958333,16813.0,63.9,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
122,1.0,0.0743,163.92,11.35040654,2.64,9210.0,5760.0,16.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
124,1.0,0.1122,217.59,10.9525594,13.77,2160.0,11490.0,95.7,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
126,1.0,0.1122,328.43,10.30895266,20.4,3270.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0
127,1.0,0.0807,165.47,10.91508846,12.0,8790.0,12430.0,19.2,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
128,1.0,0.1091,140.6,10.49127422,9.87,1560.0,12323.0,44.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
129,1.0,0.1028,98.01,11.40756495,9.13,3300.0,38624.0,97.8,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
133,1.0,0.1028,138.51,10.34174248,24.81,5789.958333,6752.0,24.6,2.0,0.0,0.0,0.0,2,0,0,0,0,0,0
135,1.0,0.0838,252.1,11.56171563,9.71,3508.958333,16786.0,44.7,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
136,1.0,0.0901,263.19,11.69524702,12.16,9719.958333,7336.0,29.9,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
137,1.0,0.0933,104.65,11.03488966,3.83,3690.0,7089.0,41.9,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
138,1.0,0.0807,172.53,10.89673933,6.29,5100.0,18388.0,68.9,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
139,1.0,0.0996,38.7,10.37349118,1.13,1920.0,613.0,76.6,2.0,0.0,0.0,0.0,1,1,0,0,0,0,0
141,1.0,0.128,335.98,10.50232405,18.92,2219.0,9166.0,50.4,1.0,0.0,0.0,0.0,2,0,1,0,0,0,0
143,1.0,0.0996,32.25,10.46310334,5.83,2158.958333,1188.0,3.0,2.0,0.0,0.0,1.0,1,0,0,0,0,0,0
145,1.0,0.1059,72.42,11.00209984,8.14,4800.0,20511.0,62.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0
147,1.0,0.0807,259.58,10.79957558,9.89,9870.0,7744.0,17.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
149,1.0,0.1154,205.4,10.71441777,17.76,1500.0,579.0,23.2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
150,1.0,0.1312,162.01,11.35040654,16.87,9059.958333,34776.0,54.3,0.0,0.0,0.0,1.0,2,0,1,0,0,0,0
151,1.0,0.1028,226.8,10.92233487,10.05,1890.0,8047.0,33.8,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
152,1.0,0.1059,162.73,9.61580548,24.4,3209.958333,0.0,0.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0
156,1.0,0.1028,97.2,10.54534144,19.93,2580.0,772.0,96.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
158,1.0,0.1091,404.62,10.75177778,16.39,5640.0,8332.0,39.9,2.0,0.0,0.0,0.0,1,0,0,0,0,0,1
159,1.0,0.0775,307.53,11.15625052,9.09,6089.958333,1790.0,4.5,1.0,0.0,0.0,0.0,2,0,0,0,0,0,0
161,1.0,0.1059,269.31,11.59910316,24.01,4665.958333,29901.0,71.2,2.0,0.0,0.0,1.0,2,0,0,0,0,0,0
162,1.0,0.1186,265.18,10.858999,11.31,1560.0,5867.0,74.3,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0
163,1.0,0.0964,802.47,11.26446411,0.8,2129.958333,10605.0,22.1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0
166,1.0,0.0838,315.12,10.30895266,4.2,1560.0,2282.0,19.0,1.0,0.0,0.0,0.0,2,0,0,1,0,0,0
167,1.0,0.1091,130.79,9.574983486,8.92,1140.0,3614.0,61.3,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
171,1.0,0.0901,572.48,10.62132735,15.37,7500.0,4746.0,18.5,2.0,0.0,0.0,0.0,1,0,0,1,0,0,0
172,1.0,0.0775,149.87,9.952277717,6.34,3029.0,3470.0,25.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
173,1.0,0.0996,96.75,11.03488966,11.98,1799.0,12640.0,83.2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
174,1.0,0.0712,92.8,11.44035477,0.0,8250.0,368.0,1.2,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0
176,1.0,0.1154,593.92,10.20359214,10.8,5050.0,8537.0,75.5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
177,1.0,0.1091,392.36,10.46310334,15.74,1500.041667,15649.0,54.5,2.0,0.0,0.0,0.0,1,0,1,0,0,0,0
180,1.0,0.1028,485.99,11.38509209,11.95,5070.0,24615.0,94.7,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
182,1.0,0.1122,223.34,10.83958091,18.68,1889.041667,9495.0,87.9,2.0,0.0,0.0,1.0,2,0,1,0,0,0,0
183,1.0,0.0775,149.87,9.903487553,10.26,6330.041667,4921.0,30.4,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
184,1.0,0.1154,211.17,11.46163217,1.83,3421.041667,11200.0,23.2,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0
185,1.0,0.0743,186.45,11.13730067,6.11,7440.041667,2444.0,5.6,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0
186,1.0,0.0933,790.86,11.00209984,0.82,2100.0,916.0,6.8,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
188,1.0,0.087,126.65,10.69194491,18.71,3630.0,3209.0,12.6,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0
189,1.0,0.1091,294.27,11.28978191,17.17,3840.041667,7570.0,82.3,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
194,1.0,0.0996,417.62,11.42954386,6.48,5610.041667,2598.0,23.8,1.0,0.0,0.0,0.0,2,0,0,0,0,0,1
195,1.0,0.1059,130.18,11.03488966,17.81,6330.041667,18168.0,68.5,2.0,0.0,0.0,0.0,1,1,0,0,0,0,0
196,1.0,0.1122,98.53,10.40134951,22.79,9389.0,24218.0,85.3,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0
197,1.0,0.0807,15.69,9.798127037,4.27,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
199,1.0,0.087,557.23,11.9381932,0.12,1128.041667,1032.0,5.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
200,1.0,0.1122,315.3,10.65725935,14.6,3630.0,133.0,4.2,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
202,1.0,0.0743,93.23,11.1844214,11.18,4500.041667,12430.0,29.6,5.0,0.0,0.0,0.0,1,0,0,0,0,1,0
206,1.0,0.1028,485.99,10.81977828,11.88,7020.041667,13867.0,33.7,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
207,1.0,0.0996,322.49,11.19134184,10.28,4920.041667,3943.0,98.6,3.0,0.0,0.0,1.0,2,0,0,0,0,0,0
208,1.0,0.087,189.97,10.08580911,19.45,3870.041667,5405.0,40.0,2.0,0.0,0.0,0.0,0,0,1,0,0,0,0
209,1.0,0.1217,376.24,10.42228135,23.96,3030.041667,12102.0,49.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
210,1.0,0.1217,599.33,11.61045137,18.3,4379.0,18076.0,81.4,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
211,1.0,0.1217,132.35,10.20359214,23.2,5279.041667,4504.0,39.2,1.0,0.0,0.0,1.0,0,0,1,0,0,0,0
212,1.0,0.1186,828.69,10.858999,9.74,4859.041667,25852.0,60.5,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1
214,1.0,0.087,538.23,10.93131966,11.51,6240.041667,20380.0,48.1,2.0,0.0,0.0,0.0,0,0,1,0,0,0,0
215,1.0,0.0933,172.55,10.6454249,16.09,2220.0,38054.0,61.2,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
216,1.0,0.1091,604.88,10.49127422,4.67,1410.0,25.0,0.2,2.0,0.0,0.0,0.0,1,0,0,0,0,0,1
217,1.0,0.0996,290.24,10.54534144,3.38,1782.0,3305.0,55.1,2.0,0.0,0.0,0.0,2,0,0,0,0,0,0
218,1.0,0.1186,530.36,11.36674295,15.1,3900.0,348.0,4.8,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0
219,1.0,0.087,158.31,10.08580911,6.15,1350.0,3015.0,25.3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
220,1.0,0.1059,390.54,10.30895266,19.84,2042.041667,7336.0,71.9,1.0,0.0,0.0,0.0,2,0,1,0,0,0,0
221,1.0,0.1249,301.04,10.858999,4.98,6630.041667,8644.0,72.6,1.0,0.0,0.0,0.0,2,1,0,0,0,0,0
222,1.0,0.1154,659.91,11.47210347,17.81,3629.0,93.0,0.0,2.0,0.0,0.0,1.0,2,0,0,0,0,0,1
223,1.0,0.0743,217.52,10.66895539,1.65,2879.0,2698.0,9.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
224,1.0,0.1028,388.79,11.48246626,5.58,4800.041667,19009.0,30.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
228,1.0,0.0964,154.08,11.00209984,12.94,2969.041667,2822.0,9.9,3.0,0.0,0.0,0.0,1,0,0,0,1,0,0
229,1.0,0.1059,650.9,11.58988651,11.96,5070.0,21004.0,97.7,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
230,1.0,0.1375,81.74,10.75790288,24.08,2820.0,11675.0,75.8,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
231,1.0,0.0901,238.54,9.875088078,10.37,1230.041667,3933.0,43.7,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
234,1.0,0.0933,95.87,10.50780352,2.69,4680.0,1492.0,33.2,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0
235,1.0,0.0996,95.94,10.1266311,14.16,1918.041667,7121.0,33.7,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
236,1.0,0.128,554.37,11.03488966,19.22,3060.041667,17641.0,69.5,2.0,0.0,0.0,0.0,1,0,1,0,0,0,0
238,1.0,0.0838,472.68,11.2515607,7.96,5909.041667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
239,1.0,0.1091,586.9,11.22524339,10.34,2669.041667,23391.0,90.7,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0
240,1.0,0.0964,224.69,9.878169745,21.23,5881.0,16324.0,48.0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,0
241,1.0,0.128,483.81,10.49460201,8.47,2670.041667,7104.0,93.5,2.0,0.0,0.0,1.0,0,0,1,0,0,0,0
242,1.0,0.1217,399.55,10.08580911,14.5,1950.041667,9273.0,43.9,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
243,1.0,0.1186,232.04,10.82774645,17.02,4380.0,6718.0,94.6,3.0,0.0,0.0,0.0,1,0,1,0,0,0,0
244,1.0,0.0964,802.47,11.22524339,17.06,5691.041667,12017.0,12.1,4.0,0.0,0.0,1.0,1,0,0,0,0,0,1
247,1.0,0.0775,124.89,10.08580911,6.0,2729.041667,2666.0,12.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
248,1.0,0.1028,113.4,10.77895629,17.65,2070.0,3761.0,55.4,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0
250,1.0,0.1091,817.41,11.19821472,22.13,9900.0,3472.0,4.5,1.0,0.0,0.0,1.0,1,0,1,0,0,0,0
252,1.0,0.0933,575.17,11.00209984,9.96,2732.041667,6703.0,47.5,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0
253,1.0,0.1312,405.03,11.56171563,18.25,4358.0,5861.0,53.8,2.0,0.0,0.0,0.0,2,0,0,0,0,0,0
255,1.0,0.0996,677.22,10.89857098,3.77,6149.0,16888.0,39.5,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
256,1.0,0.1154,131.99,10.83863929,9.14,3990.0,463.0,92.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
258,1.0,0.0964,802.47,10.77895629,9.78,2550.0,8283.0,12.7,4.0,0.0,0.0,0.0,1,0,1,0,0,0,0
260,1.0,0.0743,180.23,10.62861778,2.32,2610.041667,2650.0,6.6,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
261,1.0,0.0933,798.84,11.51292546,1.57,6359.041667,17.0,0.1,5.0,0.0,0.0,1.0,1,0,0,0,0,0,1
262,1.0,0.0933,319.54,10.50506754,19.46,4470.041667,827.0,6.6,2.0,0.0,0.0,1.0,0,0,0,0,0,0,0
264,1.0,0.0964,192.6,9.798127037,2.87,1199.041667,1554.0,29.3,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
266,1.0,0.0712,30.94,11.69524702,0.65,3810.041667,2227.0,3.8,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
269,1.0,0.1438,687.25,11.32659589,16.05,2190.0,27293.0,86.6,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
272,1.0,0.0807,250.95,10.89673933,10.44,3449.041667,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0
273,1.0,0.0743,87.01,10.28793329,3.96,3930.0,1773.0,5.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
274,1.0,0.0775,62.45,10.08580911,2.4,2290.041667,949.0,55.8,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0
277,1.0,0.1438,687.25,10.65725935,15.7,3690.0,9150.0,96.3,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
278,1.0,0.1122,656.86,10.55986701,14.04,1800.0,21777.0,53.7,3.0,0.0,0.0,0.0,0,0,1,0,0,0,0
279,1.0,0.128,537.57,11.48440253,12.43,2580.0,4281.0,63.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0
280,1.0,0.0964,320.99,10.12502982,8.17,3300.0,4475.0,63.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0
281,1.0,0.0996,386.99,11.51292546,8.17,3839.041667,25413.0,45.2,2.0,0.0,0.0,0.0,2,0,1,0,0,0,0
282,1.0,0.0838,315.12,11.58058411,2.28,4740.0,15043.0,65.2,2.0,0.0,0.0,0.0,2,0,0,0,0,0,1
283,1.0,0.1059,292.91,10.16277015,5.56,1350.041667,6353.0,39.5,2.0,0.0,0.0,0.0,1,0,0,0,0,1,0
284,1.0,0.0807,125.48,9.980448594,10.33,1920.041667,3737.0,55.8,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0
287,1.0,0.1217,199.78,11.69524702,6.81,2041.041667,19504.0,77.3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
288,1.0,0.0933,575.17,11.53272809,16.95,3630.0,10463.0,8.2,2.0,0.0,0.0,0.0,1,0,1,0,0,0,0
290,1.0,0.0901,477.07,11.17043516,6.88,4589.041667,6297.0,14.5,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0
291,1.0,0.0807,345.06,11.03488966,14.07,7867.041667,33060.0,21.7,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
292,1.0,0.1122,155.19,9.893437217,23.03,2580.0,4500.0,13.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0
293,1.0,0.0996,644.97,11.21171226,13.28,1770.0,2344.0,9.8,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0
294,1.0,0.0712,92.8,11.01205017,1.19,6270.041667,2907.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
